año;mes;Dia;hora;New York;Lluvia
2014;4;1;0;scattered clouds;0
2014;4;1;1;scattered clouds;0
2014;4;1;2;scattered clouds;0
2014;4;1;3;few clouds;0
2014;4;1;4;sky is clear;0
2014;4;1;5;sky is clear;0
2014;4;1;6;sky is clear;0
2014;4;1;7;sky is clear;0
2014;4;1;8;sky is clear;0
2014;4;1;9;sky is clear;0
2014;4;1;10;sky is clear;0
2014;4;1;11;few clouds;0
2014;4;1;12;few clouds;0
2014;4;1;13;few clouds;0
2014;4;1;14;few clouds;0
2014;4;1;15;few clouds;0
2014;4;1;16;scattered clouds;0
2014;4;1;17;light rain;1
2014;4;1;18;light rain;1
2014;4;1;19;broken clouds;0
2014;4;1;20;broken clouds;0
2014;4;1;21;overcast clouds;0
2014;4;1;22;light rain;1
2014;4;1;23;broken clouds;0
2014;4;2;0;scattered clouds;0
2014;4;2;1;scattered clouds;0
2014;4;2;2;few clouds;0
2014;4;2;3;sky is clear;0
2014;4;2;4;sky is clear;0
2014;4;2;5;sky is clear;0
2014;4;2;6;sky is clear;0
2014;4;2;7;few clouds;0
2014;4;2;8;few clouds;0
2014;4;2;9;broken clouds;0
2014;4;2;10;overcast clouds;0
2014;4;2;11;overcast clouds;0
2014;4;2;12;overcast clouds;0
2014;4;2;13;overcast clouds;0
2014;4;2;14;light rain;1
2014;4;2;15;light rain;1
2014;4;2;16;light rain;1
2014;4;2;17;light rain;1
2014;4;2;18;light rain;1
2014;4;2;19;overcast clouds;0
2014;4;2;20;broken clouds;0
2014;4;2;21;broken clouds;0
2014;4;2;22;scattered clouds;0
2014;4;2;23;few clouds;0
2014;4;3;0;broken clouds;0
2014;4;3;1;scattered clouds;0
2014;4;3;2;scattered clouds;0
2014;4;3;3;scattered clouds;0
2014;4;3;4;scattered clouds;0
2014;4;3;5;broken clouds;0
2014;4;3;6;overcast clouds;0
2014;4;3;7;overcast clouds;0
2014;4;3;8;overcast clouds;0
2014;4;3;9;overcast clouds;0
2014;4;3;10;overcast clouds;0
2014;4;3;11;broken clouds;0
2014;4;3;12;broken clouds;0
2014;4;3;13;broken clouds;0
2014;4;3;14;scattered clouds;0
2014;4;3;15;scattered clouds;0
2014;4;3;16;scattered clouds;0
2014;4;3;17;scattered clouds;0
2014;4;3;18;broken clouds;0
2014;4;3;19;broken clouds;0
2014;4;3;20;broken clouds;0
2014;4;3;21;broken clouds;0
2014;4;3;22;overcast clouds;0
2014;4;3;23;overcast clouds;0
2014;4;4;0;overcast clouds;0
2014;4;4;1;overcast clouds;0
2014;4;4;2;light rain;1
2014;4;4;3;light rain;1
2014;4;4;4;moderate rain;1
2014;4;4;5;light rain;1
2014;4;4;6;light rain;1
2014;4;4;7;light rain;1
2014;4;4;8;light rain;1
2014;4;4;9;light rain;1
2014;4;4;10;light rain;1
2014;4;4;11;light rain;1
2014;4;4;12;light rain;1
2014;4;4;13;light rain;1
2014;4;4;14;light rain;1
2014;4;4;15;light rain;1
2014;4;4;16;light rain;1
2014;4;4;17;light rain;1
2014;4;4;18;light rain;1
2014;4;4;19;light rain;1
2014;4;4;20;light rain;1
2014;4;4;21;light rain;1
2014;4;4;22;light rain;1
2014;4;4;23;light rain;1
2014;4;5;0;moderate rain;1
2014;4;5;1;light rain;1
2014;4;5;2;light rain;1
2014;4;5;3;light rain;1
2014;4;5;4;moderate rain;1
2014;4;5;5;light rain;1
2014;4;5;6;light rain;1
2014;4;5;7;overcast clouds;0
2014;4;5;8;overcast clouds;0
2014;4;5;9;light rain;1
2014;4;5;10;overcast clouds;0
2014;4;5;11;overcast clouds;0
2014;4;5;12;scattered clouds;0
2014;4;5;13;light rain;1
2014;4;5;14;light rain;1
2014;4;5;15;light rain;1
2014;4;5;16;broken clouds;0
2014;4;5;17;broken clouds;0
2014;4;5;18;broken clouds;0
2014;4;5;19;scattered clouds;0
2014;4;5;20;scattered clouds;0
2014;4;5;21;scattered clouds;0
2014;4;5;22;scattered clouds;0
2014;4;5;23;scattered clouds;0
2014;4;6;0;scattered clouds;0
2014;4;6;1;few clouds;0
2014;4;6;2;few clouds;0
2014;4;6;3;few clouds;0
2014;4;6;4;few clouds;0
2014;4;6;5;sky is clear;0
2014;4;6;6;sky is clear;0
2014;4;6;7;sky is clear;0
2014;4;6;8;sky is clear;0
2014;4;6;9;sky is clear;0
2014;4;6;10;sky is clear;0
2014;4;6;11;sky is clear;0
2014;4;6;12;sky is clear;0
2014;4;6;13;sky is clear;0
2014;4;6;14;sky is clear;0
2014;4;6;15;sky is clear;0
2014;4;6;16;sky is clear;0
2014;4;6;17;sky is clear;0
2014;4;6;18;sky is clear;0
2014;4;6;19;sky is clear;0
2014;4;6;20;light rain;1
2014;4;6;21;few clouds;0
2014;4;6;22;scattered clouds;0
2014;4;6;23;broken clouds;0
2014;4;7;0;broken clouds;0
2014;4;7;1;scattered clouds;0
2014;4;7;2;scattered clouds;0
2014;4;7;3;few clouds;0
2014;4;7;4;few clouds;0
2014;4;7;5;scattered clouds;0
2014;4;7;6;broken clouds;0
2014;4;7;7;broken clouds;0
2014;4;7;8;overcast clouds;0
2014;4;7;9;overcast clouds;0
2014;4;7;10;broken clouds;0
2014;4;7;11;overcast clouds;0
2014;4;7;12;overcast clouds;0
2014;4;7;13;overcast clouds;0
2014;4;7;14;overcast clouds;0
2014;4;7;15;overcast clouds;0
2014;4;7;16;overcast clouds;0
2014;4;7;17;overcast clouds;0
2014;4;7;18;overcast clouds;0
2014;4;7;19;overcast clouds;0
2014;4;7;20;light rain;1
2014;4;7;21;moderate rain;1
2014;4;7;22;moderate rain;1
2014;4;7;23;moderate rain;1
2014;4;8;0;moderate rain;1
2014;4;8;1;moderate rain;1
2014;4;8;2;moderate rain;1
2014;4;8;3;light rain;1
2014;4;8;4;light rain;1
2014;4;8;5;light rain;1
2014;4;8;6;light rain;1
2014;4;8;7;light rain;1
2014;4;8;8;light rain;1
2014;4;8;9;moderate rain;1
2014;4;8;10;moderate rain;1
2014;4;8;11;moderate rain;1
2014;4;8;12;light rain;1
2014;4;8;13;light rain;1
2014;4;8;14;light rain;1
2014;4;8;15;light rain;1
2014;4;8;16;light rain;1
2014;4;8;17;light rain;1
2014;4;8;18;light rain;1
2014;4;8;19;broken clouds;0
2014;4;8;20;light rain;1
2014;4;8;21;light rain;1
2014;4;8;22;broken clouds;0
2014;4;8;23;broken clouds;0
2014;4;9;0;scattered clouds;0
2014;4;9;1;scattered clouds;0
2014;4;9;2;scattered clouds;0
2014;4;9;3;scattered clouds;0
2014;4;9;4;scattered clouds;0
2014;4;9;5;few clouds;0
2014;4;9;6;sky is clear;0
2014;4;9;7;sky is clear;0
2014;4;9;8;sky is clear;0
2014;4;9;9;sky is clear;0
2014;4;9;10;sky is clear;0
2014;4;9;11;few clouds;0
2014;4;9;12;few clouds;0
2014;4;9;13;few clouds;0
2014;4;9;14;scattered clouds;0
2014;4;9;15;scattered clouds;0
2014;4;9;16;scattered clouds;0
2014;4;9;17;scattered clouds;0
2014;4;9;18;light rain;1
2014;4;9;19;light rain;1
2014;4;9;20;broken clouds;0
2014;4;9;21;broken clouds;0
2014;4;9;22;few clouds;0
2014;4;9;23;few clouds;0
2014;4;10;0;few clouds;0
2014;4;10;1;sky is clear;0
2014;4;10;2;sky is clear;0
2014;4;10;3;sky is clear;0
2014;4;10;4;sky is clear;0
2014;4;10;5;sky is clear;0
2014;4;10;6;sky is clear;0
2014;4;10;7;sky is clear;0
2014;4;10;8;sky is clear;0
2014;4;10;9;sky is clear;0
2014;4;10;10;sky is clear;0
2014;4;10;11;sky is clear;0
2014;4;10;12;sky is clear;0
2014;4;10;13;sky is clear;0
2014;4;10;14;sky is clear;0
2014;4;10;15;sky is clear;0
2014;4;10;16;few clouds;0
2014;4;10;17;few clouds;0
2014;4;10;18;few clouds;0
2014;4;10;19;few clouds;0
2014;4;10;20;few clouds;0
2014;4;10;21;scattered clouds;0
2014;4;10;22;few clouds;0
2014;4;10;23;moderate rain;1
2014;4;11;0;broken clouds;0
2014;4;11;1;broken clouds;0
2014;4;11;2;broken clouds;0
2014;4;11;3;broken clouds;0
2014;4;11;4;overcast clouds;0
2014;4;11;5;overcast clouds;0
2014;4;11;6;overcast clouds;0
2014;4;11;7;broken clouds;0
2014;4;11;8;broken clouds;0
2014;4;11;9;broken clouds;0
2014;4;11;10;broken clouds;0
2014;4;11;11;overcast clouds;0
2014;4;11;12;overcast clouds;0
2014;4;11;13;overcast clouds;0
2014;4;11;14;overcast clouds;0
2014;4;11;15;overcast clouds;0
2014;4;11;16;overcast clouds;0
2014;4;11;17;moderate rain;1
2014;4;11;18;moderate rain;1
2014;4;11;19;overcast clouds;0
2014;4;11;20;overcast clouds;0
2014;4;11;21;overcast clouds;0
2014;4;11;22;overcast clouds;0
2014;4;11;23;overcast clouds;0
2014;4;12;0;overcast clouds;0
2014;4;12;1;broken clouds;0
2014;4;12;2;light rain;1
2014;4;12;3;light rain;1
2014;4;12;4;light rain;1
2014;4;12;5;overcast clouds;0
2014;4;12;6;scattered clouds;0
2014;4;12;7;light rain;1
2014;4;12;8;light rain;1
2014;4;12;9;scattered clouds;0
2014;4;12;10;scattered clouds;0
2014;4;12;11;light rain;1
2014;4;12;12;light rain;1
2014;4;12;13;light rain;1
2014;4;12;14;few clouds;0
2014;4;12;15;scattered clouds;0
2014;4;12;16;scattered clouds;0
2014;4;12;17;broken clouds;0
2014;4;12;18;broken clouds;0
2014;4;12;19;broken clouds;0
2014;4;12;20;scattered clouds;0
2014;4;12;21;scattered clouds;0
2014;4;12;22;scattered clouds;0
2014;4;12;23;scattered clouds;0
2014;4;13;0;broken clouds;0
2014;4;13;1;scattered clouds;0
2014;4;13;2;scattered clouds;0
2014;4;13;3;scattered clouds;0
2014;4;13;4;scattered clouds;0
2014;4;13;5;scattered clouds;0
2014;4;13;6;scattered clouds;0
2014;4;13;7;sky is clear;0
2014;4;13;8;broken clouds;0
2014;4;13;9;overcast clouds;0
2014;4;13;10;overcast clouds;0
2014;4;13;11;overcast clouds;0
2014;4;13;12;broken clouds;0
2014;4;13;13;broken clouds;0
2014;4;13;14;broken clouds;0
2014;4;13;15;broken clouds;0
2014;4;13;16;broken clouds;0
2014;4;13;17;broken clouds;0
2014;4;13;18;broken clouds;0
2014;4;13;19;broken clouds;0
2014;4;13;20;broken clouds;0
2014;4;13;21;broken clouds;0
2014;4;13;22;light rain;1
2014;4;13;23;broken clouds;0
2014;4;14;0;broken clouds;0
2014;4;14;1;scattered clouds;0
2014;4;14;2;scattered clouds;0
2014;4;14;3;scattered clouds;0
2014;4;14;4;scattered clouds;0
2014;4;14;5;scattered clouds;0
2014;4;14;6;scattered clouds;0
2014;4;14;7;scattered clouds;0
2014;4;14;8;broken clouds;0
2014;4;14;9;broken clouds;0
2014;4;14;10;broken clouds;0
2014;4;14;11;broken clouds;0
2014;4;14;12;broken clouds;0
2014;4;14;13;broken clouds;0
2014;4;14;14;broken clouds;0
2014;4;14;15;broken clouds;0
2014;4;14;16;broken clouds;0
2014;4;14;17;broken clouds;0
2014;4;14;18;light rain;1
2014;4;14;19;light rain;1
2014;4;14;20;broken clouds;0
2014;4;14;21;broken clouds;0
2014;4;14;22;broken clouds;0
2014;4;14;23;broken clouds;0
2014;4;15;0;overcast clouds;0
2014;4;15;1;overcast clouds;0
2014;4;15;2;overcast clouds;0
2014;4;15;3;overcast clouds;0
2014;4;15;4;overcast clouds;0
2014;4;15;5;light rain;1
2014;4;15;6;broken clouds;0
2014;4;15;7;overcast clouds;0
2014;4;15;8;light rain;1
2014;4;15;9;light rain;1
2014;4;15;10;light rain;1
2014;4;15;11;overcast clouds;0
2014;4;15;12;light rain;1
2014;4;15;13;light rain;1
2014;4;15;14;moderate rain;1
2014;4;15;15;light rain;1
2014;4;15;16;moderate rain;1
2014;4;15;17;moderate rain;1
2014;4;15;18;moderate rain;1
2014;4;15;19;light rain;1
2014;4;15;20;light rain;1
2014;4;15;21;moderate rain;1
2014;4;15;22;moderate rain;1
2014;4;15;23;moderate rain;1
2014;4;16;0;light rain;1
2014;4;16;1;moderate rain;1
2014;4;16;2;moderate rain;1
2014;4;16;3;moderate rain;1
2014;4;16;4;light rain;1
2014;4;16;5;light rain;1
2014;4;16;6;light rain;1
2014;4;16;7;light rain;1
2014;4;16;8;light rain;1
2014;4;16;9;light rain;1
2014;4;16;10;light rain;1
2014;4;16;11;scattered clouds;0
2014;4;16;12;light rain;1
2014;4;16;13;light rain;1
2014;4;16;14;light rain;1
2014;4;16;15;light rain;1
2014;4;16;16;light rain;1
2014;4;16;17;light rain;1
2014;4;16;18;light rain;1
2014;4;16;19;light rain;1
2014;4;16;20;light rain;1
2014;4;16;21;few clouds;0
2014;4;16;22;few clouds;0
2014;4;16;23;light rain;1
2014;4;17;0;light rain;1
2014;4;17;1;few clouds;0
2014;4;17;2;sky is clear;0
2014;4;17;3;few clouds;0
2014;4;17;4;few clouds;0
2014;4;17;5;sky is clear;0
2014;4;17;6;sky is clear;0
2014;4;17;7;sky is clear;0
2014;4;17;8;few clouds;0
2014;4;17;9;few clouds;0
2014;4;17;10;few clouds;0
2014;4;17;11;few clouds;0
2014;4;17;12;few clouds;0
2014;4;17;13;few clouds;0
2014;4;17;14;few clouds;0
2014;4;17;15;scattered clouds;0
2014;4;17;16;broken clouds;0
2014;4;17;17;broken clouds;0
2014;4;17;18;broken clouds;0
2014;4;17;19;broken clouds;0
2014;4;17;20;broken clouds;0
2014;4;17;21;broken clouds;0
2014;4;17;22;broken clouds;0
2014;4;17;23;light rain;1
2014;4;18;0;broken clouds;0
2014;4;18;1;scattered clouds;0
2014;4;18;2;scattered clouds;0
2014;4;18;3;scattered clouds;0
2014;4;18;4;scattered clouds;0
2014;4;18;5;scattered clouds;0
2014;4;18;6;broken clouds;0
2014;4;18;7;overcast clouds;0
2014;4;18;8;overcast clouds;0
2014;4;18;9;overcast clouds;0
2014;4;18;10;overcast clouds;0
2014;4;18;11;broken clouds;0
2014;4;18;12;broken clouds;0
2014;4;18;13;broken clouds;0
2014;4;18;14;broken clouds;0
2014;4;18;15;overcast clouds;0
2014;4;18;16;broken clouds;0
2014;4;18;17;overcast clouds;0
2014;4;18;18;overcast clouds;0
2014;4;18;19;overcast clouds;0
2014;4;18;20;overcast clouds;0
2014;4;18;21;overcast clouds;0
2014;4;18;22;overcast clouds;0
2014;4;18;23;overcast clouds;0
2014;4;19;0;overcast clouds;0
2014;4;19;1;overcast clouds;0
2014;4;19;2;overcast clouds;0
2014;4;19;3;overcast clouds;0
2014;4;19;4;overcast clouds;0
2014;4;19;5;overcast clouds;0
2014;4;19;6;overcast clouds;0
2014;4;19;7;overcast clouds;0
2014;4;19;8;overcast clouds;0
2014;4;19;9;broken clouds;0
2014;4;19;10;broken clouds;0
2014;4;19;11;broken clouds;0
2014;4;19;12;broken clouds;0
2014;4;19;13;scattered clouds;0
2014;4;19;14;broken clouds;0
2014;4;19;15;broken clouds;0
2014;4;19;16;broken clouds;0
2014;4;19;17;broken clouds;0
2014;4;19;18;broken clouds;0
2014;4;19;19;broken clouds;0
2014;4;19;20;broken clouds;0
2014;4;19;21;broken clouds;0
2014;4;19;22;broken clouds;0
2014;4;19;23;broken clouds;0
2014;4;20;0;broken clouds;0
2014;4;20;1;broken clouds;0
2014;4;20;2;scattered clouds;0
2014;4;20;3;broken clouds;0
2014;4;20;4;broken clouds;0
2014;4;20;5;broken clouds;0
2014;4;20;6;sky is clear;0
2014;4;20;7;scattered clouds;0
2014;4;20;8;scattered clouds;0
2014;4;20;9;broken clouds;0
2014;4;20;10;broken clouds;0
2014;4;20;11;broken clouds;0
2014;4;20;12;broken clouds;0
2014;4;20;13;sky is clear;0
2014;4;20;14;sky is clear;0
2014;4;20;15;sky is clear;0
2014;4;20;16;scattered clouds;0
2014;4;20;17;broken clouds;0
2014;4;20;18;broken clouds;0
2014;4;20;19;scattered clouds;0
2014;4;20;20;scattered clouds;0
2014;4;20;21;scattered clouds;0
2014;4;20;22;scattered clouds;0
2014;4;20;23;scattered clouds;0
2014;4;21;0;scattered clouds;0
2014;4;21;1;scattered clouds;0
2014;4;21;2;scattered clouds;0
2014;4;21;3;few clouds;0
2014;4;21;4;few clouds;0
2014;4;21;5;few clouds;0
2014;4;21;6;few clouds;0
2014;4;21;7;sky is clear;0
2014;4;21;8;few clouds;0
2014;4;21;9;sky is clear;0
2014;4;21;10;few clouds;0
2014;4;21;11;scattered clouds;0
2014;4;21;12;few clouds;0
2014;4;21;13;scattered clouds;0
2014;4;21;14;broken clouds;0
2014;4;21;15;broken clouds;0
2014;4;21;16;scattered clouds;0
2014;4;21;17;scattered clouds;0
2014;4;21;18;few clouds;0
2014;4;21;19;few clouds;0
2014;4;21;20;scattered clouds;0
2014;4;21;21;scattered clouds;0
2014;4;21;22;broken clouds;0
2014;4;21;23;broken clouds;0
2014;4;22;0;scattered clouds;0
2014;4;22;1;scattered clouds;0
2014;4;22;2;scattered clouds;0
2014;4;22;3;scattered clouds;0
2014;4;22;4;scattered clouds;0
2014;4;22;5;broken clouds;0
2014;4;22;6;broken clouds;0
2014;4;22;7;broken clouds;0
2014;4;22;8;broken clouds;0
